name,designation,company,industry,email,phone,country
Liane Pattisson,Actuary,Photospace,Major Chemicals,lpattisson0@amazon.com,+380 786 871 6890,Ukraine
Casper Clynmans,Software Engineer I,Babbleset,Semiconductors,cclynmans1@amazon.co.jp,+1 172 348 5591,Canada
Hardy Gossage,Statistician II,Lazz,n/a,hgossage2@army.mil,+7 610 428 6775,Russia
Garald Muddiman,Environmental Tech,Realpoint,Computer Software: Prepackaged Software,gmuddiman3@sourceforge.net,+46 118 795 2773,Sweden
Susana Birley,General Manager,Fliptune,Finance/Investors Services,sbirley4@mayoclinic.com,+55 760 302 6308,Brazil
Lisette Vasechkin,Chemical Engineer,Blogspan,Construction/Ag Equipment/Trucks,lvasechkin5@chron.com,+7 442 635 4682,Russia
Genovera Spellard,Electrical Engineer,Kwimbee,Paper,gspellard6@joomla.org,+81 616 439 4534,Japan
Amandy Fretson,Senior Quality Engineer,Nlounge,Industrial Machinery/Components,afretson7@arizona.edu,+86 451 290 0220,China
Brande Yarnton,Programmer II,Edgeify,Major Pharmaceuticals,byarnton8@ustream.tv,+372 377 454 2305,Estonia
Shannon Trammel,Administrative Officer,Tagcat,Precious Metals,strammel9@blogspot.com,+234 912 977 0785,Nigeria
Niall Bessant,Information Systems Manager,Yambee,Clothing/Shoe/Accessory Stores,nbessanta@gizmodo.com,+266 302 549 8073,Lesotho
Neala Mcmanaman,Research Assistant I,Voolith,Professional Services,nmcmanamanb@woothemes.com,+994 388 439 9321,Azerbaijan
Delia Davidsen,Registered Nurse,Leenti,Clothing/Shoe/Accessory Stores,ddavidsenc@time.com,+351 547 517 4344,Portugal
Chloe Rivallant,Dental Hygienist,Browsetype,Oil & Gas Production,crivallantd@washingtonpost.com,+63 743 712 4153,Philippines
Mick Jenkyn,VP Sales,Skajo,EDP Services,mjenkyne@typepad.com,+974 935 266 0468,Qatar
Michele Kellert,Sales Representative,Mydeo,Property-Casualty Insurers,mkellertf@patch.com,+420 365 844 4164,Czech Republic
Marybeth Streat,Cost Accountant,Innotype,n/a,mstreatg@huffingtonpost.com,+380 819 928 6337,Ukraine
Sheffie Nutt,Sales Associate,Yozio,Military/Government/Technical,snutth@irs.gov,+86 992 408 0684,China
Abagail Worviell,Librarian,Realbridge,Major Banks,aworvielli@cornell.edu,+86 240 245 0607,China
Ibbie Dragge,Senior Editor,Zoovu,Life Insurance,idraggej@google.pl,+1 408 626 3069,United States
Thibaut Bougen,Statistician II,Pixonyx,Electric Utilities: Central,tbougenk@hugedomains.com,+967 214 242 3477,Yemen
Dare Pendle,Sales Representative,Kimia,Telecommunications Equipment,dpendlel@networksolutions.com,+86 630 579 3663,China
Masha Selbie,Administrative Assistant IV,Aivee,Marine Transportation,mselbiem@eventbrite.com,+351 446 216 8495,Portugal
Nikkie Tregunnah,Technical Writer,Livetube,Major Pharmaceuticals,ntregunnahn@shop-pro.jp,+62 945 248 4607,Indonesia
Ansley Bindin,Office Assistant III,Midel,Commercial Banks,abindino@t.co,+375 602 527 3257,Belarus
Shaw Cosgriff,Marketing Assistant,Geba,n/a,scosgriffp@amazon.de,+269 184 383 4702,Comoros
Dorey Fairburne,Junior Executive,Kwimbee,Computer Software: Prepackaged Software,dfairburneq@comcast.net,+291 167 212 4523,Eritrea
